symbol,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiments
AAPL,"IBM Pulls Adverts From Elon Musk's X Following Antisemitic Content Allegations - Apple  ( NASDAQ:AAPL ) , IBM  ( NYSE:IBM ) ",https://www.benzinga.com/news/23/11/35842015/ibm-pulls-adverts-from-elon-musks-x-following-antisemitic-content-allegations,20231117T022634,['Benzinga Neuro'],"In the wake of revelations that its advertisements were placed alongside antisemitic content, IBM Corp. IBM has decided to suspend its advertising on the social media platform X. What Happened: IBM's decision came in response to a Media Matters for America disclosure.",https://cdn.benzinga.com/files/images/story/2023/Elon-Musk-X-Photo-by-kovop-on-Shuttersto_0.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",-0.057993,Neutral,[]
AAPL,IBM suspends X advertisements after report of placement near Nazi posts,https://www.business-standard.com/world-news/ibm-suspends-x-advertisements-after-report-of-placement-near-nazi-posts-123111700082_1.html,20231117T013140,['Bloomberg'],"International Business Machines Corp. suspended its advertising on X, the social media platform formerly called Twitter, after the technology company's ads were found by a watchdog group near pro-Nazi posts.","https://bsmedia.business-standard.com/_media/bs/img/article/2023-10/31/full/1698714783-5549.jpg?im=FeatureCrop,size=(826,465)",Business Standard,GoogleRSS,www.business-standard.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",-0.08149,Neutral,[]
AAPL,Top 4 Takeaways For Stocks With China Exposure After Historic Biden-Xi Meeting,https://www.investors.com/news/china-exposure-top-takeaways-investors-after-biden-xi-meeting/,20231117T004000,"[""Investor's Business Daily"", 'MIKE JUANG']",Top 4 Takeaways For Stocks With China Exposure After Historic ... Investor's Business Daily ...,https://www.investors.com/wp-content/uploads/2023/11/Summit-XiBiden-111623-news.jpg,Investors Business Daily,,www.investors.com,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.047602,Neutral,[]
AAPL,Market Pauses; Elon Musk's 'Actual Truth' Hits Tesla,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-sp-500-leading-stocks-resilient-elon-musk-actual-truth-hits-tesla/,20231116T214800,"[""Investor's Business Daily"", 'ED CARSON']","Dow Jones Futures: S&P 500, Leading Stocks Resilient. Elon Musk's ... Investor's Business Daily ...",https://www.investors.com/wp-content/uploads/2022/05/Stock-elonmusk-grumpy-01-shutt.jpg,Investors Business Daily,,www.investors.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Technology', 'relevance_score': '0.25'}]",-0.002427,Neutral,[]
AAPL,"Apple's In-House Chip Development Faces Delays, Extending Reliance On Qualcomm - Qualcomm  ( NASDAQ:QCOM ) ",https://www.benzinga.com/markets/equities/23/11/35838151/apples-in-house-chip-development-faces-delays-extending-reliance-on-qualcomm,20231116T211425,['Piero Cingari'],"Apple Inc. AAPL's ambitious endeavor to develop its own cellular modem for iPhones, aiming to replace Qualcomm Inc. QCOM as its primary supplier, has encountered notable challenges.",https://cdn.benzinga.com/files/images/story/2023/Apple-Shutterstock.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.214378'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.188054,Somewhat-Bullish,[]
AAPL,"Goldman Sachs' 2024 Equity Outlook: Winning Stocks And Sectors To Watch - Apple  ( NASDAQ:AAPL ) , Accenture  ( NYSE:ACN ) ",https://www.benzinga.com/analyst-ratings/analyst-color/23/11/35837453/goldman-sachs-2024-equity-outlook-winning-stocks-and-sectors-to-watch,20231116T205116,['Piero Cingari'],"Goldman Sachs projected a bullish scenario for stocks in 2024, with the S&P 500 expected to hit 4,700, signifying a 12-month price gain of 5% and a total return of 6%, inclusive of dividends. Analysts David J.",https://cdn.benzinga.com/files/images/story/2023/Market-Man-Shutterstock.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.451494'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.194951,Somewhat-Bullish,[]
AAPL,"Warren Buffett Finds 'Sweet Spot,' Hits Home Run With Stake In Major League Baseball Team - Atlanta Braves Holdings  ( NASDAQ:BATRK ) ",https://www.benzinga.com/general/sports/23/11/35837148/warren-buffett-finds-sweet-spot-hits-home-run-with-stake-in-major-league-baseball-team,20231116T202738,['Chris Katje'],"Legendary investor Warren Buffett is known for many investments over the years, including a sizable stake in technology giant Apple Inc. A lover of baseball, Buffett now holds a stake in a publicly traded Major League Baseball team.",https://cdn.benzinga.com/files/images/story/2023/warren-buffett-baseball-shutter.jpeg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}]",0.347956,Somewhat-Bullish,[]
AAPL,'Magnificent Seven' stocks enjoyed a blistering 2023. Here's what it would take for that rally to spill over into 2024.,https://www.marketwatch.com/story/magnificent-seven-stocks-enjoyed-a-blistering-2023-heres-what-it-would-take-for-that-rally-to-spill-over-into-2024-53b182c8,20231116T193700,['Joseph Adinolfi'],"The Magnificent Seven have had an incredible run in 2023, Goldman Sachs notes. But what are the chances it might continue in the New Year?",https://images.mktw.net/im-29549732?width=700&height=350,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.576289'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.118612,Neutral,[]
AAPL,3 Industry Titans Benefitting from Mega Trends,https://www.zacks.com/commentary/2185631/3-industry-titans-benefitting-from-mega-trends,20231116T192300,['Andrew Rocco'],"What do stretchy pants, fat-loss drugs, and sports betting have in common? Each of these is powering some of the strongest mega-trends on Wall Street.",https://staticx-tuner.zacks.com/images/articles/main/00/1338.jpg,Zacks Commentary,,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.917436'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]",0.337347,Somewhat-Bullish,[]
AAPL,"Warren Buffett Is Expected To Rake In Over $6 Billion In Dividends In The Next Year - Here Are His 3 Biggest Income-Producing Stocks - Apple  ( NASDAQ:AAPL ) , Bank of America  ( NYSE:BAC ) ",https://www.benzinga.com/trading-ideas/dividends/23/11/35833456/warren-buffett-is-expected-to-rake-in-over-6-billion-in-dividends-in-the-next-year-here-a,20231116T173412,['Kevin Vandenboss'],"Warren Buffett, the venerated investor and CEO of Berkshire Hathaway, is set to amass over $6 billion in dividend income in the coming year, with a significant portion of this windfall emanating from just three stocks.",https://cdn.benzinga.com/files/images/story/2023/Buffett-dividend-stock-shutterstock.png?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.338574,Somewhat-Bullish,[]
